ID,LON_BEGIN,LAT_BEGIN,LON_END,LAT_END,LON_MID,LAT_MID,LENGTH_KM,OBJECTID,DIAMETER,PIPE_ID,SUB_SEGMENT_ID,L_ANCHOR_FULL_METER,SEGMENT_AZIMUTH_DEG,ASPECT_DEG_FROM_90M,LEVEL2_LIQ_BETA_CROSSING
73,-122.0880298,37.4285453,-122.0880203,37.42831421,-122.08802505,37.428429755,0.02571,786,25.4,73,1,12.8,177.6,196.0,161.6
74,-122.0651995,37.40671103,-122.0649948,37.40665054,-122.06509715,37.406680785,0.019291,787,25.4,74,1,9.7,109.8,20.0,90.2
75,-122.0649948,37.40665054,-122.0654788,37.40607886,-122.0652368,37.4063647,0.076606,787,25.4,75,1,38.3,213.5,321.0,107.49999999999996
76,-122.0654788,37.40607886,-122.0657877,37.40582847,-122.06563325,37.405953665,0.038982,787,25.4,76,1,96.0,224.0,321.0,97.0
77,-122.0657877,37.40582847,-122.0662917,37.4054594,-122.0660397,37.405643935,0.060547,787,25.4,77,1,145.8,226.9,41.0,174.10000000000008
78,-122.0662917,37.4054594,-122.0667958,37.40509034,-122.06654375,37.40527487,0.060553,787,25.4,78,1,93.0,226.9,41.0,174.10000000000008
79,-122.0667958,37.40509034,-122.0673141,37.40470505,-122.06705495,37.404897695,0.062701,787,25.4,79,1,31.4,226.5,53.0,173.50000000000009
80,-122.0673141,37.40470505,-122.0672379,37.40459824,-122.067276,37.404651645,0.013651,787,25.4,80,1,6.8,149.8,53.0,96.8
81,-122.0672379,37.40459824,-122.0678024,37.40415827,-122.06752015,37.404378255,0.069854,787,25.4,81,1,34.9,225.1,18.0,152.9
82,-122.0678024,37.40415827,-122.068367,37.40371831,-122.0680847,37.40393829,0.06986,787,25.4,82,1,104.8,225.1,32.0,166.9
83,-122.068367,37.40371831,-122.0689316,37.40327835,-122.0686493,37.40349833,0.06986,787,25.4,83,1,42.0,225.1,46.0,179.09999999999997
84,-122.0689316,37.40327835,-122.0690015,37.40324827,-122.06896655,37.40326331,0.007022,787,25.4,84,1,3.5,241.1,31.0,149.89999999999998
85,-122.0690015,37.40324827,-122.0690231,37.40315628,-122.0690123,37.403202275,0.010405,787,25.4,85,1,5.2,190.0,31.0,159.00000000000003
86,-122.0690231,37.40315628,-122.0691605,37.4031601,-122.0690918,37.40315819,0.012144,787,25.4,86,1,6.1,271.4,31.0,119.60000000000004
87,-122.0691605,37.4031601,-122.0691681,37.40311813,-122.0691643,37.403139115,0.004715,787,25.4,87,1,2.4,187.7,108.0,100.30000000000004
88,-122.0691681,37.40311813,-122.0692368,37.40307236,-122.06920245,37.403095245,0.00792,787,25.4,88,1,4.0,229.6,108.0,121.60000000000002
89,-122.0692368,37.40307236,-122.0693054,37.40288925,-122.0692711,37.402980805,0.021243,787,25.4,89,1,10.6,196.1,108.0,91.9
90,-122.0693054,37.40288925,-122.0691681,37.40286636,-122.06923675,37.402877805,0.012392,787,25.4,90,1,6.2,101.2,108.0,173.20000000000005
244,-122.0704318,38.22925398,-122.0705948,38.22946548,-122.0705133,38.22935973,0.027492,795,50.8,244,1,13.7,328.1,63.0,94.89999999999996
