,5th_eps_pipe_tens,16th_eps_pipe_tens,50th_eps_pipe_tens,84th_eps_pipe_tens,95th_eps_pipe_tens,mean_eps_pipe_tens
segment_1,0.0,0.0,0.0,0.0,0.0,0.0
segment_2,0.0,0.0,0.0,0.0,0.0,0.0
segment_3,0.0,0.0,0.0,0.0,0.0,0.0
segment_4,0.0,0.0,0.0,0.0,0.0,0.0
segment_5,0.0,0.0,0.0,0.0,0.0,0.0
segment_6,0.0,0.0,0.0,0.0,0.0,0.0
segment_7,0.0,0.0,0.0,0.0,0.0,0.0
segment_8,0.0,0.0,0.007145,0.2811,0.6662,0.1237
segment_9,0.0,0.0,0.0,0.0,0.0,0.0
segment_10,0.0,0.0,0.0,0.0,0.0,0.0
segment_11,0.0,0.0,0.0,0.0,0.0,0.0
segment_12,0.0,0.0,0.0,0.0,0.0,0.0
segment_13,0.0,0.0,0.00542,0.2567,0.6278,0.1151
segment_14,0.0,0.0,0.0,0.0,0.0,0.0
segment_15,0.0,0.0,0.006151,0.275,0.6584,0.1217
segment_16,0.0,0.0,0.0,0.0,0.0,0.0
segment_17,0.0,0.0,0.008464,0.2878,0.6734,0.1257
segment_18,0.0,0.0,0.0,0.0,0.0,0.0
segment_19,0.0,0.0,0.0,0.0,0.0,0.0
segment_20,0.0,0.0,0.0,0.0,0.0,0.0
segment_21,0.0,0.0,0.0,0.0,0.0,0.0
segment_22,0.0,0.0,0.0,0.0,0.0,0.0
segment_23,0.0,0.0,0.0,0.0,0.0,0.0
segment_24,0.0,0.0,0.0,0.0,0.0,0.0
segment_25,0.0,0.0,0.0,0.0,0.0,0.0
segment_26,0.0,0.0,0.007239,0.2827,0.6665,0.1242
segment_27,0.0,0.0,0.0,0.0,0.0,0.0
segment_28,0.0,0.0,0.0,0.0,0.0,0.0
segment_29,0.0,0.0,0.0,0.0,0.0,0.0
segment_30,0.0,0.0,0.0,0.0,0.0,0.0
segment_31,0.0,0.0,0.0,0.0,0.0,0.0
segment_32,0.0,0.0,0.0,0.0,0.0,0.0
segment_33,0.0,0.0,0.0,0.0,0.0,0.0
segment_34,0.0,0.0,0.0,0.0,0.0,0.0
segment_35,0.0,0.0,0.0,0.0,0.0,0.0
segment_36,0.0,0.0,0.0,0.0,0.0,0.0
segment_37,0.0,0.0,0.0,0.0,0.0,0.0
segment_38,0.0,0.0,0.0,0.0,0.0,0.0
segment_39,0.0,0.0,0.0,0.0,0.0,0.0
segment_40,0.0,0.0,0.0,0.0,0.0,0.0
segment_41,0.0,0.0,0.0,0.0,0.0,0.0
segment_42,0.0,0.0,0.0,0.0,0.0,0.0
segment_43,0.0,0.0,0.0,0.0,0.0,0.0
segment_44,0.0,0.0,0.0,0.0,0.0,0.0
segment_45,0.0,0.0,0.0,0.0,0.0,0.0
segment_46,0.0,0.0,0.0,0.0,0.0,0.0
segment_47,0.0,0.0,0.0,0.0,0.0,0.0
segment_48,0.0,0.0,0.0,0.0,0.0,0.0
segment_49,0.0,0.0,0.0,0.0,0.0,0.0
segment_50,0.0,0.0,0.0,0.0,0.0,0.0
segment_51,0.0,0.0,0.0,0.0,0.0,0.0
segment_52,0.0,0.0,0.0,0.0,0.0,0.0
segment_53,0.0,0.0,0.0,0.0,0.0,0.0
segment_54,0.0,0.0,0.0,0.0,0.0,0.0
segment_55,0.0,0.0,0.0,0.0,0.0,0.0
segment_56,0.0,0.0,0.0,0.0,0.0,0.0
segment_57,0.0,0.0,0.0,0.0,0.0,0.0
segment_58,0.0,0.0,0.0,0.0,0.0,0.0
segment_59,0.0,0.0,0.0,0.0,0.0,0.0
segment_60,0.0,0.0,0.0,0.0,0.0,0.0
segment_61,0.0,0.0,0.0,0.0,0.0,0.0
segment_62,0.0,0.0,0.0,0.0,0.0,0.0
segment_63,0.0,0.0,0.0,0.0,0.0,0.0
segment_64,0.0,0.0,0.0,0.09794,0.3515,0.05805
segment_65,0.0,0.0,0.0,0.0,0.0,0.0
segment_66,0.0,0.0,0.0,0.0,0.0,0.0
segment_67,0.0,0.0,0.0,0.0,0.0,0.0
segment_68,0.0,0.0,0.0,0.0,0.0,0.0
segment_69,0.0,0.0,0.0,0.0,0.0,0.0
segment_70,0.0,0.0,0.0,0.0,0.0,0.0
segment_71,0.0,0.0,0.0,0.0,0.0,0.0
segment_72,0.0,0.0,0.0,0.0,0.0,0.0
segment_73,0.0,0.0,0.0,0.0,0.0,0.0
segment_74,0.0,0.0,0.0,0.0,0.0,0.0
segment_75,0.0,0.0,0.0,0.0,0.0,0.0
segment_76,0.0,0.0,0.0,0.09794,0.3515,0.05805
segment_77,0.0,0.0,0.0,0.0,0.0,0.0
segment_78,0.0,0.0,0.0,0.0,0.0,0.0
segment_79,0.0,0.0,0.0,0.0,0.0,0.0
